postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
2282,ময়মনসিংহ,ময়মনসিংহ,ঈশ্বরগঞ্জ,আঠারবাড়ি,২২৮২,Mymensingh,Mymensingh,Isshwargonj,Atharabari,2282
2290,ময়মনসিংহ,ময়মনসিংহ,নান্দাইল,নান্দাইল,২২৯০,Mymensingh,Mymensingh,Nandail,Nandail,2290
2291,ময়মনসিংহ,ময়মনসিংহ,নান্দাইল,গাংগাইল,২২৯১,Mymensingh,Mymensingh,Nandail,Gangail,2291
2400,ময়মনসিংহ,নেত্রকোণা,নেত্রকোণা সদর,নেত্রকোণা সদর,২৪০০,Mymensingh,Netrokona,Netrakona Sadar,Netrakona Sadar,2400
2401,ময়মনসিংহ,নেত্রকোণা,নেত্রকোণা সদর,বাইখেরহাটি,২৪০১,Mymensingh,Netrokona,Netrakona Sadar,Baikherhati,2401
2410,ময়মনসিংহ,নেত্রকোণা,পুর্বধোলা,পুর্বধোলা,২৪১০,Mymensingh,Netrokona,Purbadhola,Purbadhola,2410
2411,ময়মনসিংহ,নেত্রকোণা,পুর্বধোলা,শামগঞ্জ,২৪১১,Mymensingh,Netrokona,Purbadhola,Shamganj,2411
2412,ময়মনসিংহ,নেত্রকোণা,পুর্বধোলা,জারিয়া ঝানঝাইল,২৪১২,Mymensingh,Netrokona,Purbadhola,Jaria Jhanjhail,2412
2416,ময়মনসিংহ,নেত্রকোণা,ধবাউরা,ধবাউরা,২৪১৬,Mymensingh,Netrokona,Dhobaura,Dhobaura,2416
2417,ময়মনসিংহ,নেত্রকোণা,ধবাউরা,সাকয়াই,২৪১৭,Mymensingh,Netrokona,Dhobaura,Sakoai,2417
2420,ময়মনসিংহ,নেত্রকোণা,সুসনঞ্জ দুর্গাপুর,সুসনঞ্জ দুর্গাপুর,২৪২০,Mymensingh,Netrokona,Susung Durgapur,Susnng Durgapur,2420
2430,ময়মনসিংহ,নেত্রকোণা,কলমাকান্দা,কলমাকান্দা,২৪৩০,Mymensingh,Netrokona,Kalmakanda,Kalmakanda,2430
2440,ময়মনসিংহ,নেত্রকোণা,বারহাট্টা,বারহাট্টা,২৪৪০,Mymensingh,Netrokona,Barhatta,Barhatta,2440
2446,ময়মনসিংহ,নেত্রকোণা,মোহনগঞ্জ,মোহনগঞ্জ,২৪৪৬,Mymensingh,Netrokona,Mohanganj,Mohanganj,2446
2450,ময়মনসিংহ,নেত্রকোণা,ধর্মপাশা,ধর্মপাশা,২৪৫০,Mymensingh,Netrokona,Dharmapasha,Dharampasha,2450
2456,ময়মনসিংহ,নেত্রকোণা,মধ্যনগর,মধ্যনগর,২৪৫৬,Mymensingh,Netrokona,Moddhynagar,Moddoynagar,2456
2460,ময়মনসিংহ,নেত্রকোণা,খালিয়াজুরী,খালিয়াজুরী,২৪৬০,Mymensingh,Netrokona,Khaliajuri,Khaliajhri,2460
2462,ময়মনসিংহ,নেত্রকোণা,খালিয়াজুরী,শালদিঘা,২৪৬২,Mymensingh,Netrokona,Khaliajuri,Shaldigha,2462
2470,ময়মনসিংহ,নেত্রকোণা,আটপাড়া,আটপাড়া,২৪৭০,Mymensingh,Netrokona,Atpara,Atpara,2470
2480,ময়মনসিংহ,নেত্রকোণা,কেন্দুয়া,কেন্দুয়া,২৪৮০,Mymensingh,Netrokona,Kendua,Kendua,2480
2490,ময়মনসিংহ,নেত্রকোণা,মদন,মদন,২৪৯০,Mymensingh,Netrokona,Madan,Madan,2490
