postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
3877,চট্টগ্রাম,নোয়াখালী,চাটখিল,কড়িহাটি,৩৮৭৭,Chittagong,Noakhali,Chatkhil,Karihati,3877
3878,চট্টগ্রাম,নোয়াখালী,চাটখিল,দশদিন ঘড়িয়া,৩৮৭৮,Chittagong,Noakhali,Chatkhil,Dosh Gharia,3878
3879,চট্টগ্রাম,নোয়াখালী,চাটখিল,বাঁশবাজার,৩৮৭৯,Chittagong,Noakhali,Chatkhil,Bansa Bazar,3879
3881,চট্টগ্রাম,নোয়াখালী,চাটখিল,সাহাপুর,৩৮৮১,Chittagong,Noakhali,Chatkhil,Sahapur,3881
3882,চট্টগ্রাম,নোয়াখালী,চাটখিল,শম্পার,৩৮৮২,Chittagong,Noakhali,Chatkhil,Sampara,3882
3883,চট্টগ্রাম,নোয়াখালী,চাটখিল,সিংবাহুড়া,৩৮৮৩,Chittagong,Noakhali,Chatkhil,Shingbahura,3883
3890,চট্টগ্রাম,নোয়াখালী,হাতিয়া,হাতিয়া,৩৮৯০,Chittagong,Noakhali,Hatiya,Hatiya,3890
3891,চট্টগ্রাম,নোয়াখালী,হাতিয়া,আফাজিয়া,৩৮৯১,Chittagong,Noakhali,Hatiya,Afazia,3891
3892,চট্টগ্রাম,নোয়াখালী,হাতিয়া,তমরুদ্দি,৩৮৯২,Chittagong,Noakhali,Hatiya,Tamoraddi,3892
3900,চট্টগ্রাম,ফেনী,ফেনী সদর,ফেনী সদর,৩৯০০,Chittagong,Feni,Feni Sadar,Feni Sadar,3900
3901,চট্টগ্রাম,ফেনী,ফেনী সদর,ফাজিলপুর,৩৯০১,Chittagong,Feni,Feni Sadar,Fazilpur,3901
3902,চট্টগ্রাম,ফেনী,ফেনী সদর,শর্শদি,৩৯০২,Chittagong,Feni,Feni Sadar,Sharshadie,3902
3903,চট্টগ্রাম,ফেনী,ফেনী সদর,লস্করহাট,৩৯০৩,Chittagong,Feni,Feni Sadar,Laskarhat,3903
3910,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,ছাগলনাইয়া,৩৯১০,Chittagong,Feni,Chhagalnaia,Chhagalnaia,3910
3911,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,মহারাজগঞ্জ,৩৯১১,Chittagong,Feni,Chhagalnaia,Maharajganj,3911
3912,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,দারোগাহাট,৩৯১২,Chittagong,Feni,Chhagalnaia,Daraga Hat,3912
3913,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,পূর্ব শিমুলিয়া,৩৯১৩,Chittagong,Feni,Chhagalnaia,Puabashimulia,3913
3920,চট্টগ্রাম,ফেনী,দাগনভূঞা,দাগনভূঞা,৩৯২০,Chittagong,Feni,Dagonbhuia,Dagondhuia,3920
3921,চট্টগ্রাম,ফেনী,দাগনভূঞা,দুধমুখা,৩৯২১,Chittagong,Feni,Dagonbhuia,Dudmukha,3921
3922,চট্টগ্রাম,ফেনী,দাগনভূঞা,ছিলোনিয়া,৩৯২২,Chittagong,Feni,Dagonbhuia,Silonia,3922
3923,চট্টগ্রাম,ফেনী,দাগনভূঞা,রাজাপুর,৩৯২৩,Chittagong,Feni,Dagonbhuia,Rajapur,3923
3930,চট্টগ্রাম,ফেনী,সোনাগাজী,সোনাগাজী,৩৯৩০,Chittagong,Feni,Sonagazi,Sonagazi,3930
3931,চট্টগ্রাম,ফেনী,সোনাগাজী,মতিগঞ্জ,৩৯৩১,Chittagong,Feni,Sonagazi,Motiganj,3931
3932,চট্টগ্রাম,ফেনী,সোনাগাজী,আহমদপুর,৩৯৩২,Chittagong,Feni,Sonagazi,Ahmadpur,3932
3933,চট্টগ্রাম,ফেনী,সোনাগাজী,কাজিরহাট,৩৯৩৩,Chittagong,Feni,Sonagazi,Kazirhat,3933
3940,চট্টগ্রাম,ফেনী,পশুরামপুর,পশুরামপুর,৩৯৪০,Chittagong,Feni,Pashurampur,Pashurampur,3940
3941,চট্টগ্রাম,ফেনী,পশুরামপুর,শুড়বাজার,৩৯৪১,Chittagong,Feni,Pashurampur,Shuarbazar,3941
3942,চট্টগ্রাম,ফেনী,পশুরামপুর,ফুলগাজী,৩৯৪২,Chittagong,Feni,Pashurampur,Fulgazi,3942
3943,চট্টগ্রাম,ফেনী,পশুরামপুর,মুন্সিরহাট,৩৯৪৩,Chittagong,Feni,Pashurampur,Munshirhat,3943
4000,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চট্টগ্রাম জিপিও,৪০০০,Chittagong,Chittagong,Chattogram Sadar,Chattogram GPO,4000
4100,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চট্টগ্রাম বন্দর,৪১০০,Chittagong,Chittagong,Chattogram Sadar,Chattogram Bandar,4100
4202,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,পাহাড়তলী,৪২০২,Chittagong,Chittagong,Chattogram Sadar,Pahartoli,4202
4203,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চকবাজার,৪২০৩,Chittagong,Chittagong,Chattogram Sadar,Chawkbazar,4203
4204,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,পতেঙ্গা,৪২০৪,Chittagong,Chittagong,Chattogram Sadar,Patenga,4204
4205,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চট্টগ্রাম বিমানবন্দর,৪২০৫,Chittagong,Chittagong,Chattogram Sadar,Chattogram Airport,4205
4206,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,জলদিয়া মেরিন একাডেমি,৪২০৬,Chittagong,Chittagong,Chattogram Sadar,Jaldia Merine Accade,4206
4207,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,ফিরোজশাহ কলোনী,৪২০৭,Chittagong,Chittagong,Chattogram Sadar,Firozshah,4207
4208,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,মোহার্ড,৪২০৮,Chittagong,Chittagong,Chattogram Sadar,Mohard,4208
4209,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চট্টগ্রাম পলিটেকনিক,৪২০৯,Chittagong,Chittagong,Chattogram Sadar,Chitt. Politechnic In,4209
4210,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,বায়েজিদ বোস্তামী,৪২১০,Chittagong,Chittagong,Chattogram Sadar,Bayezid Bostami,4210
4211,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,আমিন জুট মিলস,৪২১১,Chittagong,Chittagong,Chattogram Sadar,Amin Jute Mills,4211
4212,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চাঁদগাও,৪২১২,Chittagong,Chittagong,Chattogram Sadar,Chandgaon,4212
4213,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,ওয়াজেদিয়া,৪২১৩,Chittagong,Chittagong,Chattogram Sadar,Wazedia,4213
4214,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,জালালাবাদ,৪২১৪,Chittagong,Chittagong,Chattogram Sadar,Jalalabad,4214
4215,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,আনন্দবাজার,৪২১৫,Chittagong,Chittagong,Chattogram Sadar,Anandabazar,4215
4216,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,হালিশহর,৪২১৬,Chittagong,Chittagong,Chattogram Sadar,Halishahar,4216
4217,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,উত্তর কাট্টলী,৪২১৭,Chittagong,Chittagong,Chattogram Sadar,North Katuli,4217
4218,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চট্টগ্রাম সেইলার্স কলোনী,৪২১৮,Chittagong,Chittagong,Chattogram Sadar,Chitt. Sailers Colon,4218
4219,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চট্টগ্রাম কাস্টমস,৪২১৯,Chittagong,Chittagong,Chattogram Sadar,Chitt. Customs Acca,4219
4220,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,চট্টগ্রাম সেনানিবাস,৪২২০,Chittagong,Chittagong,Chattogram Sadar,Chitt. Cantonment,4220
4221,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,আল আমিন বাড়ীয়া মাদ্রাসা,৪২২১,Chittagong,Chittagong,Chattogram Sadar,Al- Amin Baria Madra,4221
4222,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,মধ্য পতেঙ্গা,৪২২২,Chittagong,Chittagong,Chattogram Sadar,Middle Patenga,4222
4223,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,রপ্তানি প্রক্রিয়াকরণ,৪২২৩,Chittagong,Chittagong,Chattogram Sadar,Export Processing,4223
4224,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,রামপুরা TSO,৪২২৪,Chittagong,Chittagong,Chattogram Sadar,Rampur TSO,4224
4225,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,খুলশী,৪২২৫,Chittagong,Chittagong,Chattogram Sadar,Khulshi,4225
4226,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,উত্তর হালিশহর,৪২২৬,Chittagong,Chittagong,Chattogram Sadar,North Halishahar,4226
4300,চট্টগ্রাম,চট্টগ্রাম,সন্দ্বীপ,সন্দ্বীপ,৪৩০০,Chittagong,Chittagong,Sandwip,Sandwip,4300
4301,চট্টগ্রাম,চট্টগ্রাম,সন্দ্বীপ,শিবেরহাট,৪৩০১,Chittagong,Chittagong,Sandwip,Shiberhat,4301
4302,চট্টগ্রাম,চট্টগ্রাম,সন্দ্বীপ,সন্দ্বীপ,৪৩০২,Chittagong,Chittagong,Sandwip,Sandwip,4302
4310,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,সীতাকুন্ড,৪৩১০,Chittagong,Chittagong,Sitakunda,Sitakunda,4310
4311,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,বারৈয়াঢালা,৪৩১১,Chittagong,Chittagong,Sitakunda,Baroidhala,4311
4312,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,বরফকুণ্ড,৪৩১২,Chittagong,Chittagong,Sitakunda,Barabkunda,4312
4313,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,বাঁশবাড়িয়া,৪৩১৩,Chittagong,Chittagong,Sitakunda,Bawashbaria,4313
4314,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,কুমিরা,৪৩১৪,Chittagong,Chittagong,Sitakunda,Kumira,4314
4315,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,ভাটিয়ারী,৪৩১৫,Chittagong,Chittagong,Sitakunda,Bhatiari,4315
4316,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,ফৌজদারহাট,৪৩১৬,Chittagong,Chittagong,Sitakunda,Fouzdarhat,4316
4317,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,জাফরাবাদ,৪৩১৭,Chittagong,Chittagong,Sitakunda,Jafrabad,4317
4320,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,মীরসরাই,৪৩২০,Chittagong,Chittagong,Mirsharai,Mirsharai,4320
4321,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,আবু তোরাব,৪৩২১,Chittagong,Chittagong,Mirsharai,Abutorab,4321
4322,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,দারোগাহাট,৪৩২২,Chittagong,Chittagong,Mirsharai,Daraga Hat,4322
4323,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,বারইয়ারহাট,৪৩২৩,Chittagong,Chittagong,Mirsharai,Bharawazhat,4323
4324,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,জোরগঞ্জ,৪৩২৪,Chittagong,Chittagong,Mirsharai,Joarganj,4324
4325,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,আজমপুর,৪৩২৫,Chittagong,Chittagong,Mirsharai,Azampur,4325
4327,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,করেরহাট,৪৩২৭,Chittagong,Chittagong,Mirsharai,Korerhat,4327
4328,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,মহাজনহাট,৪৩২৮,Chittagong,Chittagong,Mirsharai,Mohazanhat,4328
4330,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,হাটহাজারী,৪৩৩০,Chittagong,Chittagong,Hathazari,Hathazari,4330
4331,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,চট্টগ্রাম বিশ্ববিদ্যালয়,৪৩৩১,Chittagong,Chittagong,Hathazari,Chitt.University,4331
4332,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,গড়দুয়ারা,৪৩৩২,Chittagong,Chittagong,Hathazari,Gorduara,4332
4333,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,কাটিরহাট,৪৩৩৩,Chittagong,Chittagong,Hathazari,Katirhat,4333
4334,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,মির্জাপুর,৪৩৩৪,Chittagong,Chittagong,Hathazari,Mirzapur,4334
4335,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,ফাতেয়াবাদ,৪৩৩৫,Chittagong,Chittagong,Hathazari,Fatahabad,4335
4337,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,নূরালীবাড়ী,৪৩৩৭,Chittagong,Chittagong,Hathazari,Nuralibari,4337
4338,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,ইউনূস নগর,৪৩৩৮,Chittagong,Chittagong,Hathazari,Yunus Nagar,4338
4339,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,মাদ্রাসা,৪৩৩৯,Chittagong,Chittagong,Hathazari,Madrasa,4339
4340,চট্টগ্রাম,চট্টগ্রাম,রাউজান,রাউজান,৪৩৪০,Chittagong,Chittagong,Raozan,Rouzan,4340
4341,চট্টগ্রাম,চট্টগ্রাম,রাউজান,বিনাজুরী,৪৩৪১,Chittagong,Chittagong,Raozan,Beenajuri,4341
4342,চট্টগ্রাম,চট্টগ্রাম,রাউজান,কুন্ডেশ্বরী,৪৩৪২,Chittagong,Chittagong,Raozan,Kundeshwari,4342
4343,চট্টগ্রাম,চট্টগ্রাম,রাউজান,গহীরা,৪৩৪৩,Chittagong,Chittagong,Raozan,Gahira,4343
4344,চট্টগ্রাম,চট্টগ্রাম,রাউজান,জগন্নাথ হাট,৪৩৪৪,Chittagong,Chittagong,Raozan,jagannath Hat,4344
4345,চট্টগ্রাম,চট্টগ্রাম,রাউজান,ফতেহপুর,৪৩৪৫,Chittagong,Chittagong,Raozan,Fatepur,4345
4346,চট্টগ্রাম,চট্টগ্রাম,রাউজান,নোয়াপাড়া,৪৩৪৬,Chittagong,Chittagong,Raozan,Guzra Noapara,4346
4347,চট্টগ্রাম,চট্টগ্রাম,রাউজান,দেওয়ানপুর,৪৩৪৭,Chittagong,Chittagong,Raozan,Dewanpur,4347
4348,চট্টগ্রাম,চট্টগ্রাম,রাউজান,মোহামনী,৪৩৪৮,Chittagong,Chittagong,Raozan,Mohamuni,4348
4349,চট্টগ্রাম,চট্টগ্রাম,রাউজান,বি.আই.টি পোস্ট অফিস,৪৩৪৯,Chittagong,Chittagong,Raozan,B.I.T Post Office,4349
4350,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,ফটিকছড়ি,৪৩৫০,Chittagong,Chittagong,Fatikchhari,Fatikchhari,4350
4351,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,নানুপুর,৪৩৫১,Chittagong,Chittagong,Fatikchhari,Nanupur,4351
4352,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,ভাণ্ডার শরীফ,৪৩৫২,Chittagong,Chittagong,Fatikchhari,Bhandar Sharif,4352
4353,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,নাজিরহাট,৪৩৫৩,Chittagong,Chittagong,Fatikchhari,Najirhat,4353
4354,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,হারুয়ালছড়ি,৪৩৫৪,Chittagong,Chittagong,Fatikchhari,Harualchhari,4354
4355,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,নারায়ণহাট,৪৩৫৫,Chittagong,Chittagong,Fatikchhari,Narayanhat,4355
4360,চট্টগ্রাম,চট্টগ্রাম,রাঙ্গুনিয়া,রাঙ্গুনিয়া,৪৩৬০,Chittagong,Chittagong,Rangunia,Rangunia,4360
4361,চট্টগ্রাম,চট্টগ্রাম,রাঙ্গুনিয়া,ধামাইর,৪৩৬১,Chittagong,Chittagong,Rangunia,Dhamair,4361
4363,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,কানুনগোপাড়া,৪৩৬৩,Chittagong,Chittagong,Boalkhali,Kanungopara,4363
4364,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,সারোয়াতলী,৪৩৬৪,Chittagong,Chittagong,Boalkhali,Saroatoli,4364
4365,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,ইকবাল পার্ক,৪৩৬৫,Chittagong,Chittagong,Boalkhali,Iqbal Park,4365
4366,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,বোয়ালখালী,৪৩৬৬,Chittagong,Chittagong,Boalkhali,Boalkhali,4366
4367,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,সাকপুরা,৪৩৬৭,Chittagong,Chittagong,Boalkhali,Sakpura,4367
4368,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,কদুরখিল,৪৩৬৮,Chittagong,Chittagong,Boalkhali,Kadurkhal,4368
4369,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,চরণদ্বীপ,৪৩৬৯,Chittagong,Chittagong,Boalkhali,Charandwip,4369
4370,চট্টগ্রাম,চট্টগ্রাম,পটিয়া,পটিয়া প্রধান কার্যালয়,৪৩৭০,Chittagong,Chittagong,Patiya,Patiya Head Office,4370
4371,চট্টগ্রাম,চট্টগ্রাম,পটিয়া,বুধপাড়া,৪৩৭১,Chittagong,Chittagong,Patiya,Budhpara,4371
4376,চট্টগ্রাম,চট্টগ্রাম,আনোয়ারা,আনোয়ারা,৪৩৭৬,Chittagong,Chittagong,Anawara,Anowara,4376
4377,চট্টগ্রাম,চট্টগ্রাম,আনোয়ারা,পরৈকোড়া,৪৩৭৭,Chittagong,Chittagong,Anawara,Paroikora,4377
4378,চট্টগ্রাম,চট্টগ্রাম,আনোয়ারা,বটতলি,৪৩৭৮,Chittagong,Chittagong,Anawara,Battali,4378
4380,চট্টগ্রাম,চট্টগ্রাম,পূর্ব জোয়ারা,পূর্ব জোয়ারা,৪৩৮০,Chittagong,Chittagong,East Joara,East Joara,4380
4381,চট্টগ্রাম,চট্টগ্রাম,পূর্ব জোয়ারা,গাছবাড়িয়া,৪৩৮১,Chittagong,Chittagong,East Joara,Gachbaria,4381
4382,চট্টগ্রাম,চট্টগ্রাম,পূর্ব জোয়ারা,দোহাজারী,৪৩৮২,Chittagong,Chittagong,East Joara,Dohazari,4382
4383,চট্টগ্রাম,চট্টগ্রাম,পূর্ব জোয়ারা,বর্মা,৪৩৮৩,Chittagong,Chittagong,East Joara,Barma,4383
4386,চট্টগ্রাম,চট্টগ্রাম,সাতকানিয়া,সাতকানিয়া,৪৩৮৬,Chittagong,Chittagong,Satkania,Satkania,4386
4387,চট্টগ্রাম,চট্টগ্রাম,সাতকানিয়া,বায়তুল ইজ্জত,৪৩৮৭,Chittagong,Chittagong,Satkania,Baitul Ijjat,4387
4388,চট্টগ্রাম,চট্টগ্রাম,সাতকানিয়া,বাজালিয়া,৪৩৮৮,Chittagong,Chittagong,Satkania,Bazalia,4388
4390,চট্টগ্রাম,চট্টগ্রাম,জলদি,জলদি,৪৩৯০,Chittagong,Chittagong,Jaldi,Jaldi,4390
4391,চট্টগ্রাম,চট্টগ্রাম,জলদি,খান বাহাদুর,৪৩৯১,Chittagong,Chittagong,Jaldi,Khan Bahadur,4391
4392,চট্টগ্রাম,চট্টগ্রাম,জলদি,গুনাগরী,৪৩৯২,Chittagong,Chittagong,Jaldi,Gunagari,4392
4393,চট্টগ্রাম,চট্টগ্রাম,জলদি,বাণীগ্রাম,৪৩৯৩,Chittagong,Chittagong,Jaldi,Banigram,4393
4396,চট্টগ্রাম,চট্টগ্রাম,লোহাগাড়া,লোহাগাড়া,৪৩৯৬,Chittagong,Chittagong,Lohagara,Lohagara,4396
4397,চট্টগ্রাম,চট্টগ্রাম,লোহাগাড়া,পদুয়া,৪৩৯৭,Chittagong,Chittagong,Lohagara,Padua,4397
4398,চট্টগ্রাম,চট্টগ্রাম,লোহাগাড়া,চুনতি,৪৩৯৮,Chittagong,Chittagong,Lohagara,Chunti,4398
4400,চট্টগ্রাম,খাগড়াছড়ি,খাগড়াছড়ি সদর,খাগড়াছড়ি সদর,৪৪০০,Chittagong,Khagrachhari,Khagrachari Sadar,Khagrachari Sadar,4400
4410,চট্টগ্রাম,খাগড়াছড়ি,পানছড়ি,পানছড়ি,৪৪১০,Chittagong,Khagrachhari,Panchhari,Panchhari,4410
4420,চট্টগ্রাম,খাগড়াছড়ি,দীঘিনালা,দীঘিনালা,৪৪২০,Chittagong,Khagrachhari,Diginala,Diginala,4420
4430,চট্টগ্রাম,খাগড়াছড়ি,মহালছড়ি,মহালছড়ি,৪৪৩০,Chittagong,Khagrachhari,Mahalchhari,Mahalchhari,4430
4440,চট্টগ্রাম,খাগড়াছড়ি,রামগড় প্রধান কার্যালয়,রামগড় প্রধান কার্যালয়,৪৪৪০,Chittagong,Khagrachhari,Ramghar Head Office,Ramghar Head Office,4440
4450,চট্টগ্রাম,খাগড়াছড়ি,মাটিরাঙ্গা,মাটিরাঙ্গা,৪৪৫০,Chittagong,Khagrachhari,Matiranga,Matiranga,4450
4460,চট্টগ্রাম,খাগড়াছড়ি,মানিকছড়ি,মানিকছড়ি,৪৪৬০,Chittagong,Khagrachhari,Manikchhari,Manikchhari,4460
4470,চট্টগ্রাম,খাগড়াছড়ি,লক্ষ্মীছড়ি,লক্ষ্মীছড়ি,৪৪৭০,Chittagong,Khagrachhari,Laxmichhari,Laxmichhari,4470
4500,চট্টগ্রাম,রাঙ্গামাটি,রাঙ্গামাটি সদর,রাঙ্গামাটি সদর,৪৫০০,Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,4500
4510,চট্টগ্রাম,রাঙ্গামাটি,কলমপতি,কলমপতি,৪৫১০,Chittagong,Rangamati,Kalampati,Kalampati,4510
4511,চট্টগ্রাম,রাঙ্গামাটি,কলমপতি,বেতবুনিয়া,৪৫১১,Chittagong,Rangamati,Kalampati,Betbunia,4511
4520,চট্টগ্রাম,রাঙ্গামাটি,নানিয়ারচর,নানিচর,৪৫২০,Chittagong,Rangamati,Naniachhar,Nanichhar,4520
4530,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,কাপ্তাই,৪৫৩০,Chittagong,Rangamati,kaptai,Kaptai,4530
4531,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,চন্দ্রঘোনার,৪৫৩১,Chittagong,Rangamati,kaptai,Chandraghona,4531
4532,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,কাপ্তাই প্রকল্প,৪৫৩২,Chittagong,Rangamati,kaptai,Kaptai Project,4532
4533,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,কাপ্তাই নতুন বাজার,৪৫৩৩,Chittagong,Rangamati,kaptai,Kaptai Nuton Bazar,4533
4540,চট্টগ্রাম,রাঙ্গামাটি,রাজস্থালি,রাজস্থালি,৪৫৪০,Chittagong,Rangamati,Rajsthali,Rajsthali,4540
4550,চট্টগ্রাম,রাঙ্গামাটি,বিলাইছড়ি,বিলাইছড়ি,৪৫৫০,Chittagong,Rangamati,Bilaichhari,Bilaichhari,4550
4560,চট্টগ্রাম,রাঙ্গামাটি,জুরাছড়ি,জুরাছড়ি,৪৫৬০,Chittagong,Rangamati,Jarachhari,Jarachhari,4560
4570,চট্টগ্রাম,রাঙ্গামাটি,বরকল,বরকল,৪৫৭০,Chittagong,Rangamati,Barakal,Barakal,4570
4580,চট্টগ্রাম,রাঙ্গামাটি,লংগাছ,লংগাছ,৪৫৮০,Chittagong,Rangamati,Longachh,Longachh,4580
4590,চট্টগ্রাম,রাঙ্গামাটি,মারিশ্যা,মারিশ্যা,৪৫৯০,Chittagong,Rangamati,Marishya,Marishya,4590
4600,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,বান্দরবান সদর,৪৬০০,Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,4600
4610,চট্টগ্রাম,বান্দরবান,রংছড়ি,রংছড়ি,৪৬১০,Chittagong,Bandarban,Roanchhari,Roanchhari,4610
4620,চট্টগ্রাম,বান্দরবান,রুমা,রুমা,৪৬২০,Chittagong,Bandarban,Ruma,Ruma,4620
4630,চট্টগ্রাম,বান্দরবান,থানচি,থানচি,৪৬৩০,Chittagong,Bandarban,Thanchi,Thanchi,4630
4641,চট্টগ্রাম,বান্দরবান,থানচি,লামা,৪৬৪১,Chittagong,Bandarban,Thanchi,Lama,4641
4650,চট্টগ্রাম,বান্দরবান,আলিকদম,আলিকদম,৪৬৫০,Chittagong,Bandarban,Alikadam,Alikadam,4650
4660,চট্টগ্রাম,বান্দরবান,নাইখং,নাইখং,৪৬৬০,Chittagong,Bandarban,Naikhong,Naikhong,4660
4700,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,কক্সবাজার সদর,৪৭০০,Chittagong,Cox's Bazar,Coxs Bazar Sadar,Coxs Bazar Sadar,4700
4701,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,ঝিলংজা,৪৭০১,Chittagong,Cox's Bazar,Coxs Bazar Sadar,Zhilanja,4701
4702,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,ঈদগাঁও,৪৭০২,Chittagong,Cox's Bazar,Coxs Bazar Sadar,Eidga,4702
4710,চট্টগ্রাম,কক্সবাজার,গোরকঘাট,গোরকঘাট,৪৭১০,Chittagong,Cox's Bazar,Gorakghat,Gorakghat,4710
4720,চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,কুতুবদিয়া,৪৭২০,Chittagong,Cox's Bazar,Kutubdia,Kutubdia,4720
4730,চট্টগ্রাম,কক্সবাজার,রামু,রামু,৪৭৩০,Chittagong,Cox's Bazar,Ramu,Ramu,4730
4740,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,চিরিঙ্গা,৪৭৪০,Chittagong,Cox's Bazar,Chiringga,Chiringga,4740
4741,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,চিরিঙ্গা S.O,৪৭৪১,Chittagong,Cox's Bazar,Chiringga,Chiringga S.O,4741
4742,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,বদরখালী,৪৭৪২,Chittagong,Cox's Bazar,Chiringga,Badarkali,4742
4743,চট্টগ্রাম,কক্সবাজার,চিরিঙ্গা,মালুমঘাট,৪৭৪৩,Chittagong,Cox's Bazar,Chiringga,Malumghat,4743
4750,চট্টগ্রাম,কক্সবাজার,উখিয়া,উখিয়া,৪৭৫০,Chittagong,Cox's Bazar,Ukhia,Ukhia,4750
4760,চট্টগ্রাম,কক্সবাজার,টেকনাফ,টেকনাফ,৪৭৬০,Chittagong,Cox's Bazar,Teknaf,Teknaf,4760
